Pais,Año,sum,count,mean,min,max
argentina,2010,9228.3,87,106.07241,1.0,555.0
argentina,2011,13429.0,85,157.98824,5.0,604.0
argentina,2012,10868.0,71,153.07042,6.0,525.0
argentina,2013,4840.0,31,156.12903,2.0,664.0
argentina,2014,10197.0,54,188.83333,10.0,645.0
argentina,2015,25748.8,159,161.94214,1.0,602.0
argentina,2016,32624.0,177,184.31638,2.0,620.0
argentina,2017,14010.2,89,157.41798,1.0,594.0
argentina,2018,16343.0,118,138.5,2.0,598.0
argentina,2019,26152.0,163,160.44172,2.0,648.0
argentina,2020,13104.0,74,177.08108,8.0,571.0
argentina,2021,579.0,5,115.8,17.0,203.0
bolivia,2010,16608.9,133,124.87895,1.0,595.0
bolivia,2011,15243.0,116,131.40517,1.0,276.0
bolivia,2012,14783.0,94,157.26596,19.0,596.0
bolivia,2013,13761.0,95,144.85263,1.0,305.0
bolivia,2014,18952.7,177,107.0774,1.0,544.0
bolivia,2015,36741.6,242,151.82479,1.0,660.0
bolivia,2016,37319.0,275,135.70545,1.0,592.0
bolivia,2017,20447.0,178,114.87079,1.0,297.0
bolivia,2018,23691.0,190,124.68947,1.0,642.0
bolivia,2019,29155.0,210,138.83333,1.0,577.0
bolivia,2020,16424.8,123,133.53496,1.0,536.0
bolivia,2021,474.0,4,118.5,64.0,191.0
brazil,2010,8617.7,91,94.7,5.9,622.0
brazil,2011,12480.0,137,91.09489,1.0,577.0
brazil,2012,10090.5,106,95.1934,1.0,596.0
brazil,2013,2867.7,31,92.50645,1.0,258.0
brazil,2016,8451.0,104,81.25962,1.0,592.0
brazil,2017,15410.2,154,100.06623,9.2,297.0
brazil,2018,13070.0,150,87.13333,1.0,598.0
brazil,2019,8147.0,94,86.67021,1.0,750.0
brazil,2020,5982.0,78,76.69231,10.0,571.0
brazil,2021,2857.0,30,95.23333,10.0,238.0
chile,2011,4464.0,80,55.8,10.0,240.0
chile,2012,9366.9,135,69.38444,1.0,244.0
chile,2013,2172.7,29,74.92069,1.0,258.0
chile,2016,5268.0,93,56.64516,1.0,293.0
chile,2017,13688.2,160,85.55125,7.0,297.0
chile,2018,11354.0,152,74.69737,1.0,299.0
chile,2019,14275.0,184,77.58152,1.0,261.0
chile,2020,14097.0,178,79.19663,2.0,277.0
chile,2021,980.0,13,75.38462,10.0,203.0
colombia,2010,5827.9,88,66.22614,2.0,210.0
colombia,2011,6695.0,98,68.31633,3.0,183.0
colombia,2012,4291.5,77,55.73377,4.0,170.0
colombia,2013,877.0,8,109.625,11.0,174.0
colombia,2014,3851.9,65,59.26,2.0,192.0
colombia,2015,5589.5,84,66.54167,0.5,191.0
colombia,2016,5422.0,106,51.15094,2.0,698.0
colombia,2017,10505.8,223,47.11121,1.0,177.0
colombia,2018,6007.2,150,40.048,1.0,182.0
colombia,2019,9065.5,161,56.30745,1.0,192.0
colombia,2020,3084.0,71,43.43662,1.0,187.0
colombia,2021,103.0,4,25.75,9.0,60.0
costarica,2010,2057.0,50,41.14,3.1,225.0
costarica,2011,1855.4,47,39.4766,7.4,206.0
costarica,2012,1415.1,50,28.302,1.0,172.0
costarica,2013,218.0,5,43.6,15.0,75.0
costarica,2014,1591.7,44,36.175,1.2,192.0
costarica,2015,1348.2,37,36.43784,0.6,163.0
costarica,2016,1066.0,46,23.17391,1.0,89.0
costarica,2017,549.0,25,21.96,3.0,142.0
costarica,2018,2376.0,115,20.66087,3.0,176.0
costarica,2019,1795.0,50,35.9,3.0,199.0
costarica,2020,530.0,22,24.09091,5.0,150.0
dominican-republic,2010,1842.2,98,18.79796,5.0,172.0
dominican-republic,2011,657.2,13,50.55385,9.7,157.0
dominican-republic,2012,680.0,12,56.66667,13.0,139.0
dominican-republic,2014,103.0,1,103.0,103.0,103.0
dominican-republic,2015,597.0,13,45.92308,7.0,154.0
dominican-republic,2016,1049.0,14,74.92857,10.0,169.0
dominican-republic,2017,28.0,2,14.0,10.0,18.0
dominican-republic,2018,250.0,8,31.25,10.0,123.0
dominican-republic,2019,276.0,9,30.66667,3.0,142.0
dominican-republic,2020,446.0,13,34.30769,1.0,129.0
ecuador,2010,2255.8,35,64.45143,10.0,210.0
ecuador,2011,2098.0,36,58.27778,3.0,177.0
ecuador,2012,1015.2,37,27.43784,6.0,129.0
ecuador,2013,61.0,2,30.5,25.0,36.0
ecuador,2014,1570.9,27,58.18148,2.0,192.0
ecuador,2015,1902.0,33,57.63636,1.0,191.0
ecuador,2016,1676.0,52,32.23077,4.0,191.0
ecuador,2017,4020.0,146,27.53425,2.0,169.0
ecuador,2018,3971.0,115,34.53043,1.0,182.0
ecuador,2019,3840.0,74,51.89189,3.0,192.0
ecuador,2020,983.0,22,44.68182,1.0,147.0
guatemala,2010,5512.1,88,62.6375,3.8,235.0
guatemala,2011,6701.5,125,53.612,0.8,250.0
guatemala,2012,4123.5,86,47.94767,0.4,224.0
guatemala,2013,4068.0,95,42.82105,1.0,165.0
guatemala,2014,11220.5,188,59.68351,0.8,255.0
guatemala,2015,7927.0,102,77.71569,5.0,222.0
guatemala,2016,11016.3,162,68.00185,1.0,284.0
guatemala,2017,4803.7,96,50.03854,4.0,195.0
guatemala,2018,7129.0,142,50.20423,1.0,193.0
guatemala,2019,11652.8,206,56.56699,1.0,250.0
guatemala,2020,1871.0,54,34.64815,1.0,178.0
mexico,2010,8531.3,247,34.53968,1.0,235.0
mexico,2011,9742.7,192,50.74323,1.0,235.0
mexico,2012,6708.6,130,51.60462,0.4,261.0
mexico,2013,639.2,17,37.6,10.0,102.0
mexico,2014,4512.8,107,42.1757,2.0,204.0
